,rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1441,1434,2100,Technology,Chi Yufeng,52.0,China,Beijing,Software,Technology,China,0,U,M,1/1/1971 0:00,Chi,Yufeng,4/4/2023 5:01,1971.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1443,1434,2100,Healthcare,Beda Diethelm,82.0,Switzerland,Zurich,Hearing aids,Healthcare,Switzerland,1,D,M,1/1/1941 0:00,Diethelm,Beda,4/4/2023 5:01,1941.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1444,1434,2100,Fashion & Retail,Domenico Dolce,64.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,1,U,M,8/13/1958 0:00,Dolce,Domenico,4/4/2023 5:01,1958.0,8.0,13.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1445,1434,2100,Technology,Ralph Dommermuth,59.0,Germany,Montabaur,Internet service provider,Technology,Germany,1,D,M,11/19/1963 0:00,Dommermuth,Ralph,4/4/2023 5:01,1963.0,11.0,19.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1446,1434,2100,Diversified,Georgi Domuschiev,50.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,1,U,M,8/6/1972 0:00,Domuschiev,Georgi,4/4/2023 5:01,1972.0,8.0,6.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1447,1434,2100,Diversified,Kiril Domuschiev,53.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,1,U,M,4/18/1969 0:00,Domuschiev,Kiril,4/4/2023 5:01,1969.0,4.0,18.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1448,1434,2100,Real Estate,Bob Ell,78.0,Australia,Surfers Paradise,Real estate,Real Estate,Australia,1,E,M,12/22/1944 0:00,Ell,Bob,4/4/2023 5:01,1944.0,12.0,22.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1449,1434,2100,Energy,Paul Foster,65.0,United States,El Paso,Oil refining,Energy,United States,1,U,M,10/8/1957 0:00,Foster,Paul,4/4/2023 5:01,1957.0,10.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1450,1434,2100,Fashion & Retail,Stefano Gabbana,60.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,1,U,M,11/14/1962 0:00,Gabbana,Stefano,4/4/2023 5:01,1962.0,11.0,14.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1451,1434,2100,Manufacturing,Xingjiang Gao,59.0,China,Huzhou,Steel,Manufacturing,China,1,D,M,11/1/1963 0:00,Gao,Xingjiang,4/4/2023 5:01,1963.0,11.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1452,1434,2100,Energy,Gordon Getty,89.0,United States,San Francisco,Getty Oil,Energy,United States,0,E,M,12/20/1933 0:00,Getty,Gordon,4/4/2023 5:01,1933.0,12.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1453,1434,2100,Energy,Kamal Ghaffarian,64.0,United States,Naples,"Space, energy",Energy,United States,1,N,M,4/28/1958 0:00,Ghaffarian,Kamal,4/4/2023 5:01,1958.0,4.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1454,1434,2100,Healthcare,Dennis Gillings,78.0,United States,Durham,Clinical trials,Healthcare,United Kingdom,1,E,M,4/25/1944 0:00,Gillings,Dennis,4/4/2023 5:01,1944.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1455,1434,2100,Diversified,Harsh Goenka,65.0,India,Mumbai,Diversified,Diversified,India,0,E,M,12/10/1957 0:00,Goenka,Harsh,4/4/2023 5:01,1957.0,12.0,10.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1456,1434,2100,Diversified,Sanjiv Goenka,62.0,India,Kolkata,Diversified,Diversified,India,0,D,M,1/29/1961 0:00,Goenka,Sanjiv,4/4/2023 5:01,1961.0,1.0,29.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1457,1434,2100,Real Estate,Jane Goldman,67.0,United States,New York,Real estate,Real Estate,United States,0,D,F,7/29/1955 0:00,Goldman,Jane,4/4/2023 5:01,1955.0,7.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1458,1434,2100,Fashion & Retail,Stein Erik Hagen,66.0,Norway,Oslo,Consumer goods,Fashion & Retail,Norway,1,D,M,7/22/1956 0:00,Hagen,Stein Erik,4/4/2023 5:01,1956.0,7.0,22.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
1459,1434,2100,Real Estate,Bahaa Hariri,56.0,Switzerland,Geneva,"Real estate, investments",Real Estate,Lebanon,0,E,M,4/26/1966 0:00,Hariri,Bahaa,4/4/2023 5:01,1966.0,4.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1460,1434,2100,Fashion & Retail,Hortensia Herrero,72.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,0,D,F,5/20/1950 0:00,Herrero,Hortensia,4/4/2023 5:01,1950.0,5.0,20.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1462,1434,2100,Manufacturing,Huang Min,49.0,China,Suzhou,Machinery,Manufacturing,China,1,U,M,7/1/1973 0:00,Huang,Min,4/4/2023 5:01,1973.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1463,1434,2100,Technology,Jared Isaacman,40.0,United States,Easton,Payment processing,Technology,United States,1,U,M,2/11/1983 0:00,Isaacman,Jared,4/4/2023 5:01,1983.0,2.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1464,1434,2100,Technology,Eugene Kaspersky,57.0,Russia,Moscow,Software,Technology,Russia,1,U,M,10/4/1965 0:00,Kaspersky,Eugene,4/4/2023 5:01,1965.0,10.0,4.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1465,1434,2100,Fashion & Retail,Artem Khachatryan,48.0,Cyprus,Limassol,Retail,Fashion & Retail,Russia,1,R,M,1/3/1975 0:00,Khachatryan,Artem,4/4/2023 5:01,1975.0,1.0,3.0,102.51,0.3,24564647935.0,75.9,99.3,80.8,24.5,22.4,1198575.0,35.126413,33.429859
1466,1434,2100,Food & Beverage,Andrei Krivenko,47.0,Russia,Moscow,Retail,Food & Beverage,Russia,1,N,M,7/25/1975 0:00,Krivenko,Andrei,4/4/2023 5:01,1975.0,7.0,25.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1469,1434,2100,Finance & Investments,Marc Lasry,62.0,United States,New York,Hedge funds,Finance & Investments,United States,1,U,M,9/23/1960 0:00,Lasry,Marc,4/4/2023 5:01,1960.0,9.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1470,1434,2100,Finance & Investments,Christian Latouche & family,82.0,France,Lyon,Accounting services,Finance & Investments,France,1,D,M,7/18/1940 0:00,Latouche,Christian,4/4/2023 5:01,1940.0,7.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1471,1434,2100,Sports,Theodore Leonsis,67.0,United States,Bethesda,Sports teams,Sports,United States,1,U,M,1/8/1956 0:00,Leonsis,Theodore,4/4/2023 5:01,1956.0,1.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1473,1434,2100,Manufacturing,Liu Chengyu & family,60.0,China,Shenzhen,Power supply equipment,Manufacturing,China,1,U,M,7/26/1962 0:00,Liu,Chengyu,4/4/2023 5:01,1962.0,7.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1474,1434,2100,Fashion & Retail,Sergey Lomakin,49.0,Cyprus,Paphos,Retail,Fashion & Retail,Russia,1,R,M,5/23/1973 0:00,Lomakin,Sergey,4/4/2023 5:01,1973.0,5.0,23.0,102.51,0.3,24564647935.0,75.9,99.3,80.8,24.5,22.4,1198575.0,35.126413,33.429859
1475,1434,2100,Food & Beverage,Daniel Lubetzky,54.0,United States,New York,Snack bars,Food & Beverage,United States,1,D,M,9/28/1968 0:00,Lubetzky,Daniel,4/4/2023 5:01,1968.0,9.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1477,1434,2100,Diversified,Anand Mahindra,67.0,India,Mumbai,Diversified,Diversified,India,0,U,M,5/1/1955 0:00,Mahindra,Anand,4/4/2023 5:01,1955.0,5.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1478,1434,2100,Fashion & Retail,Rafique Malik,72.0,India,Mumbai,Footwear,Fashion & Retail,India,0,U,M,10/31/1950 0:00,Malik,Rafique,4/4/2023 5:01,1950.0,10.0,31.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1479,1434,2100,Diversified,Katarina Martinson,41.0,Sweden,Stockholm,Investments,Diversified,Sweden,0,U,F,5/4/1981 0:00,Martinson,Katarina,4/4/2023 5:01,1981.0,5.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
1480,1434,2100,Healthcare,Kiran Mazumdar-Shaw,70.0,India,Bangalore,Biopharmaceuticals,Healthcare,India,1,D,F,3/23/1953 0:00,Mazumdar-Shaw,Kiran,4/4/2023 5:01,1953.0,3.0,23.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1481,1434,2100,Automotive,Nirmal Minda,65.0,India,Gurgaon,Auto parts,Automotive,India,0,D,M,11/7/1957 0:00,Minda,Nirmal,4/4/2023 5:01,1957.0,11.0,7.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1482,1434,2100,Technology,Mu Rongjun,43.0,China,Beijing,E-commerce,Technology,China,1,D,M,1/1/1980 0:00,Mu,Rongjun,4/4/2023 5:01,1980.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1484,1434,2100,Finance & Investments,Alexander Nesis,60.0,Russia,Moscow,"Metals, banking, fertilizers",Finance & Investments,Russia,1,U,M,12/19/1962 0:00,Nesis,Alexander,4/4/2023 5:01,1962.0,12.0,19.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1485,1434,2100,Manufacturing,Zugen Ni,66.0,China,Suzhou,Appliances,Manufacturing,China,1,U,M,1/18/1957 0:00,Ni,Zugen,4/4/2023 5:01,1957.0,1.0,18.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1486,1434,2100,Construction & Engineering,Florentino Perez,76.0,Spain,Madrid,Construction,Construction & Engineering,Spain,1,U,M,3/8/1947 0:00,Perez,Florentino,4/4/2023 5:01,1947.0,3.0,8.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1487,1434,2100,Metals & Mining,Victor Pinchuk,62.0,Ukraine,Kiev,"Steel pipes, diversified",Metals & Mining,Ukraine,1,U,M,12/14/1960 0:00,Pinchuk,Victor,4/4/2023 5:01,1960.0,12.0,14.0,281.66,7.9,153781069118.0,82.7,99.0,71.6,20.1,45.2,44385155.0,48.379433,31.16558
1489,1434,2100,Technology,Raveendran Byju,41.0,India,Bangalore,Education technology,Technology,India,1,D,M,7/6/1981 0:00,Raveendran,Byju,4/4/2023 5:01,1981.0,7.0,6.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1490,1434,2100,Construction & Engineering,P.P. Reddy,65.0,India,Hyderabad,Infrastructure,Construction & Engineering,India,1,U,M,8/30/1957 0:00,Reddy,P.P.,4/4/2023 5:01,1957.0,8.0,30.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1491,1434,2100,Fashion & Retail,Richard Saghian,41.0,United States,Los Angeles,Fast fashion,Fashion & Retail,United States,1,U,M,8/6/1981 0:00,Saghian,Richard,4/4/2023 5:01,1981.0,8.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1492,1434,2100,Healthcare,Shi Yifeng,49.0,China,Beijing,Medical cosmetics,Healthcare,China,1,U,M,1/1/1974 0:00,Shi,Yifeng,4/4/2023 5:01,1974.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1493,1434,2100,Finance & Investments,Thaksin Shinawatra,73.0,United Arab Emirates,Dubai,Investments,Finance & Investments,Thailand,1,U,M,7/26/1949 0:00,Shinawatra,Thaksin,4/4/2023 5:01,1949.0,7.0,26.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
1495,1434,2100,Healthcare,Timothy Springer,75.0,United States,Chestnut Hill,Biotech,Healthcare,United States,1,E,M,2/23/1948 0:00,Springer,Timothy,4/4/2023 5:01,1948.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1496,1434,2100,Automotive,Venu Srinivasan,70.0,India,Chennai,Two-wheelers,Automotive,India,0,U,M,12/11/1952 0:00,Srinivasan,Venu,4/4/2023 5:01,1952.0,12.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1497,1434,2100,Fashion & Retail,Edward Stack,68.0,United States,Sewickley,Dick's Sporting Goods,Fashion & Retail,United States,1,U,M,12/27/1954 0:00,Stack,Edward,4/4/2023 5:01,1954.0,12.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1498,1434,2100,Food & Beverage,Sun Mengquan & family,73.0,China,Yantai,Edible oil,Food & Beverage,China,1,D,M,3/1/1950 0:00,Sun,Mengquan,4/4/2023 5:01,1950.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1499,1434,2100,Finance & Investments,Alexander Svetakov,55.0,Russia,Moscow,Real estate,Finance & Investments,Russia,1,D,M,2/15/1968 0:00,Svetakov,Alexander,4/4/2023 5:01,1968.0,2.0,15.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1500,1434,2100,Fashion & Retail,Torsten Toeller,56.0,Germany,Krefeld,Pet food,Fashion & Retail,Germany,1,D,M,4/6/1966 0:00,Toeller,Torsten,4/4/2023 5:01,1966.0,4.0,6.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1501,1434,2100,Food & Beverage,Barbara Tyson,74.0,United States,Fayetteville,Food processing,Food & Beverage,United States,0,N,F,3/6/1949 0:00,Tyson,Barbara,4/4/2023 5:01,1949.0,3.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1502,1434,2100,Food & Beverage,Hamdi Ulukaya,50.0,United States,Norwich,Greek yogurt,Food & Beverage,Turkey,1,D,M,10/26/1972 0:00,Ulukaya,Hamdi,4/4/2023 5:01,1972.0,10.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1503,1434,2100,Construction & Engineering,Wang Linpeng,54.0,China,Beijing,Furniture retailing,Construction & Engineering,China,1,D,M,5/1/1968 0:00,Wang,Linpeng,4/4/2023 5:01,1968.0,5.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1504,1434,2100,Food & Beverage,Wei Ing-Chou,69.0,China,Tianjin,"Food, beverages",Food & Beverage,Taiwan,1,U,M,7/1/1953 0:00,Wei,Ing-Chou,4/4/2023 5:01,1953.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1506,1434,2100,Food & Beverage,Wei Yin-Heng,64.0,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,1,U,M,1/1/1959 0:00,Wei,Yin-Heng,4/4/2023 5:01,1959.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1508,1434,2100,Gambling & Casinos,Elaine Wynn,80.0,United States,Las Vegas,"Casinos, hotels",Gambling & Casinos,United States,1,U,F,4/28/1942 0:00,Wynn,Elaine,4/4/2023 5:01,1942.0,4.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1509,1434,2100,Automotive,Xu Xudong & family,53.0,China,Ningbo,Auto parts,Automotive,China,1,U,M,3/1/1970 0:00,Xu,Xudong,4/4/2023 5:01,1970.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1511,1434,2100,Manufacturing,Yu Qibing & family,57.0,China,Ningbo,Glass,Manufacturing,China,1,D,M,11/1/1965 0:00,Yu,Qibing,4/4/2023 5:01,1965.0,11.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1512,1434,2100,Manufacturing,Yuan Fugen & family,72.0,China,Suzhou,Metal processing,Manufacturing,China,1,U,M,11/15/1950 0:00,Yuan,Fugen,4/4/2023 5:01,1950.0,11.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1513,1434,2100,Manufacturing,Zhang Ning & family,49.0,China,Shanghai,Chemicals,Manufacturing,Canada,1,D,F,4/1/1974 0:00,Zhang,Ning,4/4/2023 5:01,1974.0,4.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1514,1434,2100,Healthcare,Zhao Tao,57.0,China,Xi'an,Pharmaceuticals,Healthcare,Singapore,0,D,M,1/1/1966 0:00,Zhao,Tao,4/4/2023 5:01,1966.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1515,1516,2000,Construction & Engineering,Anu Aga,80.0,India,Pune,Engineering,Construction & Engineering,India,0,U,F,8/1/1942 0:00,Aga,Anu,4/4/2023 5:01,1942.0,8.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1516,1516,2000,Fashion & Retail,Mohamed Al Fayed,94.0,United Kingdom,London,"Retail, investments",Fashion & Retail,Egypt,1,D,M,1/27/1929 0:00,Al Fayed,Mohamed,4/4/2023 5:01,1929.0,1.0,27.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1517,1516,2000,Technology,Andrey Andreev,49.0,United Kingdom,London,Online dating,Technology,United Kingdom,1,E,M,2/3/1974 0:00,Andreev,Andrey,4/4/2023 5:01,1974.0,2.0,3.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1519,1516,2000,Technology,Pavel Baudis,62.0,Czech Republic,Prague,Software,Technology,Czech Republic,1,D,M,5/15/1960 0:00,Baudis,Pavel,4/4/2023 5:01,1960.0,5.0,15.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
1521,1516,2000,Manufacturing,Cao Jianwei,44.0,China,Shangyu,Semiconductors,Manufacturing,China,1,E,M,5/30/1978 0:00,Cao,Jianwei,4/4/2023 5:01,1978.0,5.0,30.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1522,1516,2000,Manufacturing,Huwen Chen,52.0,China,Shanghai,Stationery,Manufacturing,China,1,D,M,7/1/1970 0:00,Chen,Huwen,4/4/2023 5:01,1970.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1523,1516,2000,Diversified,Phongthep Chiaravanont,71.0,Thailand,Bangkok,Diversified,Diversified,Thailand,0,U,M,1/1/1952 0:00,Chiaravanont,Phongthep,4/4/2023 5:01,1952.0,1.0,1.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1524,1516,2000,Diversified,Dou Zhenggang,69.0,China,Hangzhou,"Energy, chemicals",Diversified,China,1,D,M,5/21/1953 0:00,Dou,Zhenggang,4/4/2023 5:01,1953.0,5.0,21.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1525,1516,2000,Food & Beverage,Maria Franca Fissolo,88.0,Monaco,Monaco,"Nutella, chocolates",Food & Beverage,Italy,0,E,F,1/1/1935 0:00,Fissolo,Maria Franca,4/4/2023 5:01,1935.0,1.0,1.0,128.01454200084424,4.419459687631912,7184844193.0,67.41358076760861,102.8720792914382,78.08793757908056,12.548354430379746,43.88371994938844,38964.0,43.7384176,7.4246158
1526,1516,2000,Diversified,William Franke,85.0,United States,Houston,Low-cost airlines,Diversified,United States,1,D,M,4/15/1937 0:00,Franke,William,4/4/2023 5:01,1937.0,4.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1527,1516,2000,Healthcare,Mario Germano Giuliani,51.0,Monaco,Monaco,Pharmaceuticals,Healthcare,Switzerland,0,D,M,2/26/1972 0:00,Giuliani,Mario Germano,4/4/2023 5:01,1972.0,2.0,26.0,128.01454200084424,4.419459687631912,7184844193.0,67.41358076760861,102.8720792914382,78.08793757908056,12.548354430379746,43.88371994938844,38964.0,43.7384176,7.4246158
1528,1516,2000,Real Estate,Amy Goldman Fowler,68.0,United States,Rhinebeck,Real estate,Real Estate,United States,0,D,F,4/19/1954 0:00,Goldman Fowler,Amy,4/4/2023 5:01,1954.0,4.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1529,1516,2000,Metals & Mining,John Hancock,47.0,United Kingdom,London,Mining,Metals & Mining,Australia,0,D,M,1/2/1976 0:00,Hancock,John,4/4/2023 5:01,1976.0,1.0,2.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1530,1516,2000,Technology,Hu Yangzhong,58.0,China,Hangzhou,Technology,Technology,China,1,D,M,3/6/1965 0:00,Hu,Yangzhong,4/4/2023 5:01,1965.0,3.0,6.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1532,1516,2000,Media & Entertainment,Huang Qiaoling,64.0,China,Hangzhou,Amusement parks,Media & Entertainment,China,1,U,M,11/15/1958 0:00,Huang,Qiaoling,4/4/2023 5:01,1958.0,11.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1533,1516,2000,Finance & Investments,Rajiv Jain,55.0,United States,Fort Lauderdale,Finance,Finance & Investments,United States,1,N,M,1/27/1968 0:00,Jain,Rajiv,4/4/2023 5:01,1968.0,1.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1534,1516,2000,Sports,Michael Jordan,60.0,United States,Jupiter,"Charlotte Hornets, endorsements",Sports,United States,1,U,M,2/17/1963 0:00,Jordan,Michael,4/4/2023 5:01,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1535,1516,2000,Real Estate,Diane Kemper,77.0,United States,New York,Real estate,Real Estate,United States,0,D,F,7/21/1945 0:00,Kemper,Diane,4/4/2023 5:01,1945.0,7.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1536,1516,2000,Technology,Shlomo Kramer,57.0,Israel,Tel Aviv,"Software, investments",Technology,Israel,1,D,M,3/14/1966 0:00,Kramer,Shlomo,4/4/2023 5:01,1966.0,3.0,14.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1537,1516,2000,Healthcare,Heikki Kyostila,77.0,Finland,Helsinki,Dental products,Healthcare,Finland,1,U,M,1/19/1946 0:00,Kyostila,Heikki,4/4/2023 5:01,1946.0,1.0,19.0,112.33,1.0,268761201365.0,88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151
1539,1516,2000,Technology,Li Min,57.0,China,Fuzhou,Semiconductor,Technology,China,1,D,M,12/26/1965 0:00,Li,Min,4/4/2023 5:01,1965.0,12.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1540,1516,2000,Technology,Liang Rubo,40.0,China,Beijing,TikTok,Technology,China,1,D,M,1/1/1983 0:00,Liang,Rubo,4/4/2023 5:01,1983.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1541,1516,2000,Manufacturing,Liang Zhaoxian,58.0,China,Foshan,Appliances,Manufacturing,China,0,D,M,1/1/1965 0:00,Liang,Zhaoxian,4/4/2023 5:01,1965.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1542,1516,2000,Energy,Lin Fanlian,61.0,China,Linyi,"Energy, real estate",Energy,China,1,D,M,6/1/1961 0:00,Lin,Fanlian,4/4/2023 5:01,1961.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
